biome,char,strategy,n,effective,clear,timeout,error,rate,allRate,timeMedian,levelMedian
crypt,hunter,A,15,15,0,0,0,0,0,138.81666666670475,5
crypt,hunter,C,15,15,0,0,0,0,0,130.64166666671218,7
crypt,pyro,A,15,15,0,0,0,0,0,125.4916666667126,1
crypt,pyro,C,15,15,0,0,0,0,0,130.59166666671223,2
crypt,guardian,A,15,15,0,0,0,0,0,127.29166666671404,7
crypt,guardian,C,15,15,0,0,0,0,0,140.75833333336965,9
crypt,ranger,A,15,15,0,0,0,0,0,152.57500000002557,10
crypt,ranger,C,15,15,0,0,0,0,0,123.72500000004453,8
crypt,stormcaller,A,15,15,0,0,0,0,0,135.00000000004155,9
crypt,stormcaller,C,15,15,0,0,0,0,0,154.25833333335737,10
crypt,shadow,A,15,15,0,0,0,0,0,126.91666666671374,2
crypt,shadow,C,15,15,0,0,0,0,0,129.65000000004642,3
crypt,g_vanguard,A,15,15,0,0,0,0,0,184.12499999999687,6
crypt,g_vanguard,C,15,15,0,0,0,0,0,162.40833333334996,6
crypt,g_arcanist,A,15,15,0,0,0,0,0,120.6333333333754,6
crypt,g_arcanist,C,15,14,0,1,0,0,0,110.34166666670055,4.5
crypt,g_ranger,A,15,15,0,0,0,0,0,114.76666666670407,6
crypt,g_ranger,C,15,14,0,1,0,0,0,105.23750000002983,6
crypt,g_warden,A,15,15,0,0,0,0,0,109.73333333336673,3
crypt,g_warden,C,15,14,0,1,0,0,0,128.3583333333799,5
crypt,g_revenant,A,15,14,1,1,0,0.07142857142857142,0.06666666666666667,140.45833333336992,6
crypt,g_revenant,C,15,15,0,0,0,0,0,135.95833333337401,7
crypt,g_stormcaller,A,15,14,0,1,0,0,0,129.40000000004503,9
crypt,g_stormcaller,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,123.67500000004449,8
crypt,h4_paladin,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,173.8416666666729,7
crypt,h4_paladin,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,162.28333333335007,9
crypt,h4_chronomancer,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,91.11666666668525,6
crypt,h4_chronomancer,C,15,15,0,0,0,0,0,91.13333333335193,5
crypt,h4_puppeteer,A,15,15,0,0,0,0,0,103.2000000000282,4
crypt,h4_puppeteer,C,15,15,0,0,0,0,0,84.71666666668015,5
crypt,h4_gravekeeper,A,15,15,0,0,0,0,0,136.58333333337345,4
crypt,h4_gravekeeper,C,15,15,0,0,0,0,0,173.7833333333396,4
crypt,h4_starcaller,A,15,15,0,0,0,0,0,112.4583333333689,4
crypt,h4_starcaller,C,15,15,0,0,0,0,0,109.68333333336669,3
crypt,h4_bladedancer,A,15,15,0,0,0,0,0,99.56666666669197,3
crypt,h4_bladedancer,C,15,15,0,0,0,0,0,123.90833333337801,1
crypt,h2_duelist,A,15,15,0,0,0,0,0,127.09166666671388,3
crypt,h2_duelist,C,15,15,0,0,0,0,0,103.25000000002824,3
crypt,h2_warlock,A,15,15,0,0,0,0,0,129.70000000004637,6
crypt,h2_warlock,C,15,15,0,0,0,0,0,117.30000000003942,6
crypt,h2_trapper,A,15,15,0,0,0,0,0,128.8000000000472,9
crypt,h2_trapper,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,127.65000000004765,9
crypt,h2_voidcaller,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,124.20000000004491,9
crypt,h2_voidcaller,C,15,15,0,0,0,0,0,125.58333333337934,8
crypt,h2_warder,A,15,15,0,0,0,0,0,167.05833333334573,7
crypt,h2_warder,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,144.61666666669947,7
crypt,h3_spearmaiden,A,15,14,0,1,0,0,0,148.28750000002947,3
crypt,h3_spearmaiden,C,15,15,0,0,0,0,0,118.65000000004049,3
crypt,h3_plague,A,15,15,0,0,0,0,0,92.21666666668612,5
crypt,h3_plague,C,15,15,0,0,0,0,0,111.19166666670122,5
crypt,h3_beastfang,A,15,15,0,0,0,0,0,97.55833333335704,4
crypt,h3_beastfang,C,15,15,0,0,0,0,0,125.30833333337912,3
crypt,h3_dragoon,A,15,15,0,0,0,0,0,127.70833333338103,5
crypt,h3_dragoon,C,15,15,0,0,0,0,0,154.5916666666904,6
cavern,hunter,A,15,15,0,0,0,0,0,110.14166666670039,5
cavern,hunter,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,123.72500000004453,6
cavern,pyro,A,15,15,0,0,0,0,0,131.69166666671123,2
cavern,pyro,C,15,15,0,0,0,0,0,95.53333333335543,1
cavern,guardian,A,15,15,0,0,0,0,0,130.27500000004585,8
cavern,guardian,C,15,14,0,1,0,0,0,135.03333333337292,8.5
cavern,ranger,A,15,15,0,0,0,0,0,126.19166666671316,7
cavern,ranger,C,15,14,0,1,0,0,0,129.37916666671174,8.5
cavern,stormcaller,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,150.2250000000277,9
cavern,stormcaller,C,15,15,0,0,0,0,0,145.858333333365,10
cavern,shadow,A,15,15,0,0,0,0,0,145.883333333365,4
cavern,shadow,C,15,15,0,0,0,0,0,147.1166666666972,2
cavern,g_vanguard,A,15,15,2,0,0,0.13333333333333333,0.13333333333333333,205.233333333311,7
cavern,g_vanguard,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,165.76666666668024,8
cavern,g_arcanist,A,15,15,0,0,0,0,0,123.72500000004453,3
cavern,g_arcanist,C,15,15,0,0,0,0,0,98.90000000002478,3
cavern,g_ranger,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,129.8666666667129,5
cavern,g_ranger,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,113.6250000000365,7
cavern,g_warden,A,15,15,0,0,0,0,0,125.4083333333792,3
cavern,g_warden,C,15,15,0,0,0,0,0,156.9250000000216,3
cavern,g_revenant,A,15,15,3,0,0,0.2,0.2,156.40833333335542,10
cavern,g_revenant,C,15,13,0,2,0,0,0,173.45000000000658,10
cavern,g_stormcaller,A,15,15,1,0,0,0.06666666666666667,0.06666666666666667,130.30833333337915,7
cavern,g_stormcaller,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,137.45000000003932,9
cavern,h4_paladin,A,15,15,0,0,0,0,0,164.15000000001504,10
cavern,h4_paladin,C,15,15,0,0,0,0,0,173.75833333333964,10
cavern,h4_chronomancer,A,15,15,0,0,0,0,0,125.17500000004569,6
cavern,h4_chronomancer,C,15,15,0,0,0,0,0,127.83333333338113,8
cavern,h4_puppeteer,A,15,14,0,1,0,0,0,97.47500000002364,2.5
cavern,h4_puppeteer,C,15,15,0,0,0,0,0,94.43333333335455,3
cavern,h4_gravekeeper,A,15,14,0,1,0,0,0,153.6833333333579,3
cavern,h4_gravekeeper,C,15,15,1,0,0,0.06666666666666667,0.06666666666666667,148.89166666669558,5
cavern,h4_starcaller,A,15,15,0,0,0,0,0,132.300000000044,5
cavern,h4_starcaller,C,15,15,0,0,0,0,0,119.22500000004095,2
cavern,h4_bladedancer,A,15,15,0,0,0,0,0,121.72500000004294,2
cavern,h4_bladedancer,C,15,15,0,0,0,0,0,118.53333333337373,2
cavern,h2_duelist,A,15,15,0,0,0,0,0,126.81666666671366,2
